molecule_chembl_id,pref_name,S_mchr1,S_mchr1_tierB,S_herg,selectivity_score,hit
CHEMBL142703,VILDAGLIPTIN,0.3086,0.1932,0.1778,0.1309,False
CHEMBL385517,SAXAGLIPTIN ANHYDROUS,0.2069,0.1319,0.1375,0.0694,False
CHEMBL1201743,SAXAGLIPTIN HYDROCHLORIDE,0.2045,0.1304,0.1358,0.0687,False
CHEMBL259972,MOFEZOLAC,0.2836,0.2787,0.2353,0.0483,False
CHEMBL462394,METRIZAMIDE,0.1809,0.1591,0.1522,0.0287,False
CHEMBL221959,TOFACITINIB,0.2472,0.2316,0.2198,0.0274,False
CHEMBL33,LEVOFLOXACIN ANHYDROUS,0.2333,0.2118,0.2069,0.0264,False
CHEMBL4,OFLOXACIN,0.2333,0.2118,0.2069,0.0264,False
CHEMBL5315124,LEVOFLOXACIN,0.2308,0.2093,0.2045,0.0262,False
CHEMBL2104489,ANAGESTONE ACETATE,0.1978,0.1753,0.172,0.0258,False
CHEMBL1560089,XANTHINOL NIACINATE,0.2447,0.2,0.22,0.0247,False
CHEMBL924,ZOLEDRONIC ACID ANHYDROUS,0.2025,0.2143,0.1781,0.0244,False
CHEMBL4303669,ZOLEDRONIC ACID,0.2,0.2113,0.1757,0.0243,False
CHEMBL221326,DIQUAFOSOL,0.1818,0.1628,0.1585,0.0233,False
CHEMBL1767408,DIQUAFOSOL TETRASODIUM,0.1778,0.1724,0.1548,0.023,False
CHEMBL11662,OZAGREL,0.2561,0.339,0.2353,0.0208,False
CHEMBL2364632,SARECYCLINE,0.1881,0.1593,0.1683,0.0198,False
CHEMBL2364633,SARECYCLINE HYDROCHLORIDE,0.1863,0.1579,0.1667,0.0196,False
CHEMBL354541,LOMITAPIDE,0.3226,0.3196,0.3049,0.0177,False
CHEMBL1789842,INDACATEROL MALEATE,0.2258,0.2165,0.215,0.0109,False
CHEMBL110691,CHLORMADINONE ACETATE,0.1828,0.2024,0.172,0.0108,False
CHEMBL1095777,INDACATEROL,0.2299,0.2065,0.2198,0.0101,False
CHEMBL152,CIDOFOVIR ANHYDROUS,0.1829,0.2027,0.1728,0.0101,False
CHEMBL5314375,CIDOFOVIR,0.1807,0.2,0.1707,0.01,False
CHEMBL2105662,LOMITAPIDE MESYLATE,0.3061,0.3168,0.2967,0.0094,False
CHEMBL765,GUANETHIDINE,0.2647,0.25,0.2558,0.0089,False
CHEMBL1456,MYCOPHENOLATE MOFETIL,0.2245,0.2245,0.2157,0.0088,False
CHEMBL1200955,MYCOPHENOLATE MOFETIL HYDROCHLORIDE,0.2222,0.2222,0.2136,0.0086,False
CHEMBL2095208,COBICISTAT,0.2432,0.2321,0.2353,0.0079,False
CHEMBL2106556,CYCLOBARBITAL CALCIUM,0.1585,0.1481,0.1529,0.0056,False
CHEMBL1617,RIFAXIMIN,0.1628,0.1855,0.1575,0.0053,False
CHEMBL518520,RALTEGRAVIR POTASSIUM,0.2474,0.2414,0.2421,0.0053,False
CHEMBL254316,RALTEGRAVIR,0.2526,0.2471,0.2473,0.0053,False
CHEMBL6466,COUMARIN,0.2459,0.2586,0.2407,0.0052,False
CHEMBL1037,GUANADREL,0.1429,0.1519,0.1379,0.0049,False
CHEMBL3182320,TROXERUTIN,0.1963,0.2421,0.1915,0.0048,False
CHEMBL2103875,TRAMETINIB,0.2843,0.2929,0.2796,0.0047,False
CHEMBL1788403,BIOALLETHRIN,0.1585,0.1562,0.1538,0.0047,False
CHEMBL430,GEMIFLOXACIN,0.2079,0.2075,0.2039,0.004,False
CHEMBL4297590,DARIDOREXANT,0.2604,0.25,0.2574,0.003,False
CHEMBL1909298,PINAVERIUM BROMIDE,0.1919,0.1748,0.1889,0.003,False
CHEMBL1909324,PINAVERIUM,0.1939,0.1765,0.191,0.0029,False
CHEMBL4650216,DARIDOREXANT HYDROCHLORIDE,0.2577,0.2475,0.2549,0.0028,False
CHEMBL2107830,EMPAGLIFLOZIN,0.2333,0.2245,0.2308,0.0026,False
CHEMBL197084,TROFINETIDE,0.1744,0.1728,0.1724,0.002,False
CHEMBL1201139,MEGESTROL ACETATE,0.172,0.1765,0.1705,0.0016,False
CHEMBL1200498,ALATROFLOXACIN MESYLATE,0.2336,0.2121,0.2323,0.0013,False
CHEMBL1200779,TROVAFLOXACIN MESYLATE,0.2371,0.2211,0.236,0.0012,False
CHEMBL717,MEDROXYPROGESTERONE ACETATE,0.1828,0.1828,0.1818,0.001,False
CHEMBL1788386,TETRAMETHRIN,0.1724,0.1705,0.1714,0.001,False
CHEMBL1131,ACITRETIN,0.1786,0.1975,0.1778,0.0008,False
CHEMBL1371,CHLORZOXAZONE,0.2923,0.2656,0.2917,0.0006,False
CHEMBL1201197,ALATROFLOXACIN,0.2427,0.2211,0.2421,0.0006,False
CHEMBL2103743,TOFACITINIB CITRATE,0.22,0.219,0.22,0.0,False
CHEMBL4802249,LENACAPAVIR SODIUM,0.1849,0.1905,0.1852,-0.0003,False
CHEMBL4594438,LENACAPAVIR,0.1875,0.1931,0.188,-0.0005,False
CHEMBL2107703,FENTICONAZOLE NITRATE,0.233,0.2347,0.234,-0.001,False
CHEMBL1476022,NOMEGESTROL ACETATE,0.1667,0.1705,0.1687,-0.002,False
CHEMBL1624126,XANTHINOL,0.2317,0.2118,0.2338,-0.0021,False
CHEMBL4297522,PEMIGATINIB,0.2525,0.2475,0.2549,-0.0024,False
CHEMBL1752,DYPHYLLINE,0.1923,0.2073,0.1951,-0.0028,False
CHEMBL803,CYTARABINE,0.1707,0.1884,0.1739,-0.0032,False
CHEMBL2111286,RANITIDINE BISMUTH CITRATE,0.1613,0.2,0.1648,-0.0035,False
CHEMBL1200796,CYCLOPHOSPHAMIDE,0.1169,0.1266,0.1212,-0.0043,False
CHEMBL2104594,CALCIUM GLUBIONATE,0.119,0.099,0.1235,-0.0044,False
CHEMBL2219740,CALCIUM GLUBIONATE ANHYDROUS,0.1205,0.1,0.125,-0.0045,False
CHEMBL1661,LACTITOL,0.1081,0.1039,0.1127,-0.0046,False
CHEMBL88,CYCLOPHOSPHAMIDE ANHYDROUS,0.1184,0.1139,0.1231,-0.0047,False
CHEMBL268164,CYCLOBARBITAL,0.1558,0.15,0.1607,-0.0049,False
CHEMBL1201066,VENLAFAXINE HYDROCHLORIDE,0.2647,0.2581,0.2698,-0.0051,False
CHEMBL637,VENLAFAXINE,0.2687,0.2623,0.2742,-0.0055,False
CHEMBL3989750,GLUCOSAMINE SULFATE,0.1053,0.1127,0.1111,-0.0058,False
CHEMBL1757,FOSFOMYCIN,0.1029,0.1061,0.1087,-0.0058,False
CHEMBL1200470,ESOMEPRAZOLE SODIUM,0.191,0.253,0.197,-0.006,False
CHEMBL1567328,OMEPRAZOLE MAGNESIUM,0.191,0.253,0.197,-0.006,False
CHEMBL1237066,CALCIUM GLUCEPTATE,0.125,0.1045,0.1311,-0.0061,False
CHEMBL2107374,SUGAMMADEX SODIUM,0.0952,0.0952,0.1017,-0.0065,False
CHEMBL2106119,CALCIUM GLUCONATE,0.1268,0.1061,0.1333,-0.0066,False
CHEMBL3989887,TACROLIMUS,0.1473,0.1606,0.1545,-0.0072,False
CHEMBL3989756,TALC,0.0484,0.0615,0.0556,-0.0072,False
CHEMBL269732,TACROLIMUS ANHYDROUS,0.1484,0.1618,0.1557,-0.0073,False
CHEMBL2105741,TRAMETINIB DIMETHYL SULFOXIDE,0.271,0.2788,0.2784,-0.0073,False
CHEMBL3990276,TALC ANHYDROUS,0.0492,0.0625,0.0566,-0.0074,False
CHEMBL225071,RALTITREXED,0.1961,0.2427,0.2037,-0.0076,False
CHEMBL2068884,SODIUM GLUCONATE,0.0923,0.1,0.1,-0.0077,False
CHEMBL562,GRISEOFULVIN,0.1818,0.2024,0.1899,-0.0081,False
CHEMBL1201096,KRYPTON KR 81M,0.0167,0.0185,0.025,-0.0083,False
CHEMBL1200625,STRONTIUM CHLORIDE SR 89,0.0294,0.0328,0.0377,-0.0083,False
CHEMBL1234579,NITROUS OXIDE,0.0317,0.0408,0.04,-0.0083,False
CHEMBL4594273,ELACESTRANT HYDROCHLORIDE,0.2316,0.3023,0.24,-0.0084,False
CHEMBL4297509,ELACESTRANT,0.234,0.3059,0.2424,-0.0084,False
CHEMBL977,HYDROCORTISONE HEMISUCCINATE ANHYDROUS,0.1667,0.1649,0.1753,-0.0086,False
CHEMBL43708,IMIPENEM,0.17,0.1717,0.1786,-0.0086,False
CHEMBL1345,GUANETHIDINE MONOSULFATE,0.2639,0.25,0.2727,-0.0088,False
