molecule_chembl_id,cb1_relation,cb1_pchembl_bound
CHEMBL375955,>,7.523
CHEMBL232730,>,5.301
CHEMBL391561,>,5.301
CHEMBL235487,>,5.523
CHEMBL400268,>,5.252
CHEMBL256754,>,6.0
CHEMBL499059,>,6.0
CHEMBL500927,>,6.0
CHEMBL524680,>,6.0
CHEMBL500133,>,6.0
CHEMBL500655,>,6.0
CHEMBL499601,>,6.0
CHEMBL525381,>,7.301
CHEMBL522719,>,7.301
CHEMBL496781,>,7.301
CHEMBL466402,>,6.0
CHEMBL467641,>,6.0
CHEMBL460544,>,6.0
CHEMBL460754,>,6.0
CHEMBL495391,>,5.394
CHEMBL471980,>,5.301
CHEMBL458143,>,5.337
CHEMBL462533,>,5.301
CHEMBL462330,>,5.301
CHEMBL462329,>,5.301
CHEMBL517283,>,5.301
CHEMBL453843,>,5.301
CHEMBL453842,>,5.301
CHEMBL453844,>,5.301
CHEMBL454864,>,5.301
CHEMBL454607,>,5.301
CHEMBL454096,>,5.301
CHEMBL452039,>,5.301
CHEMBL451779,>,5.301
CHEMBL452803,>,5.301
CHEMBL453847,>,5.301
CHEMBL487629,>,5.301
CHEMBL488816,>,5.301
CHEMBL527208,>,5.301
CHEMBL519592,>,5.301
CHEMBL487456,>,5.301
CHEMBL486440,>,5.301
CHEMBL512886,>,5.301
CHEMBL471558,>,5.301
CHEMBL472121,>,5.301
CHEMBL512906,>,5.301
CHEMBL472165,>,5.301
CHEMBL472157,>,5.301
CHEMBL476110,>,5.699
CHEMBL481586,>,5.5
CHEMBL517646,>,5.5
CHEMBL465113,>,5.5
CHEMBL512583,>,5.5
CHEMBL464916,>,5.5
CHEMBL464915,>,5.5
CHEMBL464914,>,5.5
CHEMBL513651,>,5.5
CHEMBL466191,>,5.5
CHEMBL467016,>,5.5
CHEMBL464069,>,5.5
CHEMBL465274,>,5.5
CHEMBL464062,>,5.5
CHEMBL520916,>,5.5
CHEMBL576706,>,5.252
CHEMBL603321,>,5.301
CHEMBL604120,>,6.0
CHEMBL597083,>,6.0
CHEMBL1081610,>,6.0
CHEMBL1081622,>,6.0
CHEMBL1644672,>,6.0
CHEMBL1644676,>,6.0
CHEMBL1644686,>,6.0
CHEMBL1641938,>,5.523
CHEMBL1641937,>,5.523
CHEMBL1641936,>,5.523
CHEMBL1641944,>,6.0
CHEMBL1641950,>,5.523
CHEMBL1641951,>,5.523
CHEMBL1641952,>,6.0
CHEMBL1641953,>,6.0
CHEMBL1641959,>,6.0
CHEMBL1641960,>,6.0
CHEMBL1641962,>,5.523
CHEMBL1828811,>,6.0
CHEMBL2019083,>,5.301
CHEMBL2057799,>,6.0
CHEMBL2170528,>,6.0
CHEMBL2170529,>,6.0
CHEMBL2170532,>,6.0
CHEMBL2170534,>,6.0
CHEMBL2170542,>,6.0
CHEMBL2170545,>,6.0
CHEMBL2170544,>,6.0
CHEMBL2170546,>,6.0
CHEMBL2170551,>,6.0
CHEMBL2387181,>,5.301
CHEMBL2414036,>,5.523
CHEMBL2414035,>,5.523
CHEMBL2414033,>,5.523
CHEMBL2414032,>,6.0
CHEMBL2414029,>,6.0
CHEMBL2414028,>,5.523
CHEMBL2414023,>,5.523
CHEMBL2414022,>,5.523
CHEMBL2414020,>,6.0
CHEMBL2414018,>,5.523
CHEMBL3093379,>,6.0
CHEMBL3093378,>,6.0
CHEMBL3093369,>,6.0
CHEMBL3093366,>,6.0
CHEMBL3234669,>,6.0
CHEMBL3233029,>,5.301
CHEMBL3234684,>,5.301
CHEMBL3139186,>,6.0
CHEMBL3234693,>,8.824
CHEMBL3421700,>,5.523
CHEMBL3421699,>,5.523
CHEMBL3421698,>,5.523
CHEMBL3421697,>,5.523
CHEMBL3421696,>,5.523
CHEMBL3421695,>,5.523
CHEMBL3421694,>,5.523
CHEMBL3421689,>,5.523
CHEMBL3421688,>,5.523
CHEMBL3613101,>,5.301
CHEMBL3613118,>,6.0
CHEMBL1076685,>,6.0
CHEMBL3937621,>,6.0
CHEMBL4088509,>,5.398
CHEMBL4067246,>,5.398
CHEMBL4084087,>,5.398
CHEMBL4085733,>,5.398
CHEMBL4091845,>,5.398
CHEMBL4071007,>,5.398
CHEMBL4169388,>,6.0
CHEMBL4163588,>,6.0
CHEMBL4581598,>,6.0
CHEMBL4649714,>,6.0
CHEMBL4641997,>,6.0
CHEMBL4640710,>,6.0
CHEMBL4643391,>,6.0
CHEMBL4633168,>,6.0
CHEMBL4641494,>,6.0
CHEMBL4852456,>,6.0
CHEMBL4850004,>,6.0
CHEMBL4854325,>,6.0
CHEMBL4857976,>,6.0
CHEMBL4863350,>,6.0
CHEMBL6143362,>,6.0
